"country","province","date","actual_cases"
"Taiwan*",NA,2020-01-22,1
"Taiwan*",NA,2020-01-23,1
"Taiwan*",NA,2020-01-24,3
"Taiwan*",NA,2020-01-25,3
"Taiwan*",NA,2020-01-26,4
"Taiwan*",NA,2020-01-27,5
"Taiwan*",NA,2020-01-28,8
"Taiwan*",NA,2020-01-29,8
"Taiwan*",NA,2020-01-30,9
"Taiwan*",NA,2020-01-31,10
"Taiwan*",NA,2020-02-01,10
"Taiwan*",NA,2020-02-02,10
"Taiwan*",NA,2020-02-03,10
"Taiwan*",NA,2020-02-04,11
"Taiwan*",NA,2020-02-05,11
"Taiwan*",NA,2020-02-06,16
"Taiwan*",NA,2020-02-07,16
"Taiwan*",NA,2020-02-08,17
"Taiwan*",NA,2020-02-09,18
"Taiwan*",NA,2020-02-10,18
"Taiwan*",NA,2020-02-11,18
"Taiwan*",NA,2020-02-12,18
"Taiwan*",NA,2020-02-13,18
"Taiwan*",NA,2020-02-14,18
"Taiwan*",NA,2020-02-15,18
"Taiwan*",NA,2020-02-16,20
"Taiwan*",NA,2020-02-17,22
"Taiwan*",NA,2020-02-18,22
"Taiwan*",NA,2020-02-19,23
"Taiwan*",NA,2020-02-20,24
"Taiwan*",NA,2020-02-21,26
"Taiwan*",NA,2020-02-22,26
"Taiwan*",NA,2020-02-23,28
"Taiwan*",NA,2020-02-24,30
"Taiwan*",NA,2020-02-25,31
"Taiwan*",NA,2020-02-26,32
"Taiwan*",NA,2020-02-27,32
"Taiwan*",NA,2020-02-28,34
"Taiwan*",NA,2020-02-29,39
"Taiwan*",NA,2020-03-01,40
"Taiwan*",NA,2020-03-02,41
"Taiwan*",NA,2020-03-03,42
"Taiwan*",NA,2020-03-04,42
"Taiwan*",NA,2020-03-05,44
"Taiwan*",NA,2020-03-06,45
"Taiwan*",NA,2020-03-07,45
"Taiwan*",NA,2020-03-08,45
"Taiwan*",NA,2020-03-09,45
"Taiwan*",NA,2020-03-10,47
"Taiwan*",NA,2020-03-11,48
"Taiwan*",NA,2020-03-12,49
"Taiwan*",NA,2020-03-13,50
"Taiwan*",NA,2020-03-14,53
"Taiwan*",NA,2020-03-15,59
"Taiwan*",NA,2020-03-16,67
"Taiwan*",NA,2020-03-17,77
"Taiwan*",NA,2020-03-18,100
"Taiwan*",NA,2020-03-19,108
"Taiwan*",NA,2020-03-20,135
"Taiwan*",NA,2020-03-21,153
"Taiwan*",NA,2020-03-22,169
"Taiwan*",NA,2020-03-23,195
"Taiwan*",NA,2020-03-24,215
"Taiwan*",NA,2020-03-25,235
"Taiwan*",NA,2020-03-26,252
"Taiwan*",NA,2020-03-27,267
"Taiwan*",NA,2020-03-28,283
"Taiwan*",NA,2020-03-29,298
"Taiwan*",NA,2020-03-30,306
"Taiwan*",NA,2020-03-31,322
